Candidate Name,Website,Facebook,Twitter,Instagram,City,State,Name of race
Zachery Fuller,http://fullerforchange.com/,https://www.facebook.com/fullerforchange,https://twitter.com/fullerforchange,https://www.instagram.com/fullerforchange/,,GA,"Griffin City Commission, District 5"
Precious Singo,https://www.precioussingo.com/,https://www.facebook.com/singoishereforus/,,https://www.instagram.com/singoishereforus/,,OH,New Albany Plain Local School Board of Education
Saul Eugene,https://saulforslp.com,https://www.facebook.com/saul-eugene-for-saint-louis-park-city-council-ward-3-100921148969051,https://twitter.com/sauleugene49?lang=en,https://www.instagram.com/saul.eugene/?hl=en,,MN,"Saint Louis Park City Council, Ward 3"
Lauren Holt,https://www.laurenholt4mdj.com,https://www.facebook.com/lauren-holt-for-magisterial-district-judge-104203444963831,,,,PA,"Magisterial District Judge, District 15-4-01"
AJ Williams,https://www.ajfordurham.com/,https://www.facebook.com/ajfordurham,https://twitter.com/ajfordurham,https://www.instagram.com/ajfordurham/,,NC,"Durham City Council, Ward 3"
Hannah Gay Keao,https://hannahforedgewater.com/,https://www.facebook.com/hannahforedgewater,https://twitter.com/hannahgaykeao,https://www.instagram.com/hannahgaykeao/,,CO,"Edgewater City Council, At Large"
Peter J. Argeropoulos,https://www.argeropoulosforschoolboard.org/,https://www.facebook.com/argeropoulosnh,https://twitter.com/argeropoulosnh,,,NH,"Manchester School Committee, At Large"
Olena Nicks,https://www.olenanicks.com/,https://www.facebook.com/olenanicksfortoh/,https://twitter.com/nicksfortoh,,,NY,Hempstead Town Clerk
Jordan Thompson,https://jordanfornashua.com,,https://twitter.com/jordanfornh,,,NH,"Nashua Board of Aldermen, Ward 6"
Robbie Hinkel,https://www.robbiefordover.com,https://www.facebook.com/robbiefordover,https://twitter.com/robbiefordover,https://www.instagram.com/robbiefordover,,NH,"Dover City Council, Ward 2"
Samantha Kaag,https://votewestreading.com,https://www.facebook.com/samkaag4westreading,https://twitter.com/samanthakaag,https://www.instagram.com/samkaag4westreading,,PA,Mayor of West Reading
Holly Terrill,https://www.kansansforholly.org,https://www.facebook.com/holly-terrill-for-school-board-101164175534602,https://twitter.com/holly_terrill,,,KS,"Wichita USD 259 School Board, District 6"
Sparkle Anthony,,https://www.facebook.com/sparkleforutica/,,,,NY,"Utica City Council, At-Large"
Burhan Azeem,https://voteburhan.com,https://www.facebook.com/burhanforcouncil,https://twitter.com/realburhanazeem,https://www.instagram.com/burhanforcouncil,,MA,"Cambridge City Council, At-Large"
